id,name,party,episode
ul,ursula von der Leyen,cdu,500
lk,Lars Klingbeil,spd,"500, 503"
nr,Norbert Röttgen,cdu,"500, 501"
sw,Sahra Wagenknecht,dl,500
cs,Constanze Stelzenmüller,na,500
cl,Christian Lindner,fdp,501
ks,Karl Schlögel,na,501
lm,Ljudmyla Melnyk,na,501
kd,Kristina Dunz,na,501
el,Egils Levits ,na,501
ab,Annalena Baerbock,gr,502
ft,Frans Timmermans,na,502
am,Andrij Melnyk,na,502
al,Alexander Graf Lambsdorff,fdp,502
er,Egon Ramms ,na,502
rh,Robert Habeck,gr,503
cm,Claudia Major,na,503
kp,Katja Petrowskaja ,na,503
rk,Roderich Kiesewetter ,cdu,503